Campaign Name,Content Title,Content Network Name,Impression,Quartile100
Rate Realities_News_July 2025,Morning Rush,scripps,1013,979
Rate Realities_News_July 2025,American Pulse,null,977,972
Rate Realities_News_July 2025,Headlines from CNN,WBD Discovery,971,950
Rate Realities_News_July 2025,In Case You Missed It,null,952,948
Rate Realities_News_July 2025,War Room: Special Coverage,RealAmericasVoice,848,844
Rate Realities_News_July 2025,EPG  KCRA Hyperlocal Sacramento%2C CA,null,829,818
Rate Realities_News_July 2025,The Week As It Happened,scripps,814,789
Rate Realities_News_July 2025,American Sunrise,null,813,809
Rate Realities_News_July 2025,The Charlie Kirk Show,null,789,784
Rate Realities_News_July 2025,Bolling!,RealAmericasVoice,756,755
Rate Realities_News_July 2025,SportsCenter,null,726,723
Rate Realities_News_July 2025,FOX 8 WVUE Mobile,null,714,708
Rate Realities_News_July 2025,Run Of Video Network,null,685,485
Rate Realities_News_July 2025,Latest News,null,619,617
Rate Realities_News_July 2025,The Steve Gruber Show,RealAmericasVoice,616,612
Rate Realities_News_July 2025,Scripps News On The Scene,scripps,611,598
Rate Realities_News_July 2025,null,FoxDigital,575,570
Rate Realities_News_July 2025,Xumo Play: Stream TV & Movies,null,562,555
Rate Realities_News_July 2025,The War Room,RealAmericasVoice,519,516
Rate Realities_News_July 2025,Cowboy Logic,RealAmericasVoice,512,511
Rate Realities_News_July 2025,null,The Young Turks,492,485
Rate Realities_News_July 2025,null,Fox,487,484
Rate Realities_News_July 2025,Live From Studio 6B,RealAmericasVoice,466,460
Rate Realities_News_July 2025,Human Events Daily,null,463,462
Rate Realities_News_July 2025,The War Room,null,451,446
Rate Realities_News_July 2025,Live From Studio 6B,null,441,438
Rate Realities_News_July 2025,24 Horas,Estrella,436,432
Rate Realities_News_July 2025,American Pulse,CNN,435,428
Rate Realities_News_July 2025,null,NBC,422,433
Rate Realities_News_July 2025,War Room: Special Coverage,null,403,398
Rate Realities_News_July 2025,null,CBS,390,385
Rate Realities_News_July 2025,America's Voice Live,RealAmericasVoice,390,380
Rate Realities_News_July 2025,null,odkmedia,388,411
Rate Realities_News_July 2025,null,KQCW,374,367
Rate Realities_News_July 2025,Photowalks On Scripps News,scripps,373,359
Rate Realities_News_July 2025,null,WEATHERNATION,364,350
Rate Realities_News_July 2025,Reuters Morning News,Reuters,359,348
Rate Realities_News_July 2025,Securing America,null,354,353
Rate Realities_News_July 2025,In Case You Missed It,CNN,351,346
Rate Realities_News_July 2025,null,Tegna,348,343
Rate Realities_News_July 2025,Human Events Daily,RealAmericasVoice,348,345
Rate Realities_News_July 2025,Top Weather News US Regional Forecasts and Severe Coverage,null,346,343
Rate Realities_News_July 2025,The Steve Gruber Show,null,342,339
Rate Realities_News_July 2025,null,RAV,331,326
Rate Realities_News_July 2025,Crime Files,null,323,323
Rate Realities_News_July 2025,ABC 10 News San Diego KGTV,null,319,314
Rate Realities_News_July 2025,First Edition,null,314,304
Rate Realities_News_July 2025,Real America with Dan Ball,null,302,299
Rate Realities_News_July 2025,Reuters Evening News,Reuters,297,285
Rate Realities_News_July 2025,America's Top 10 With Wayne Allyn Root,RealAmericasVoice,296,295
Rate Realities_News_July 2025,24 Horas,null,294,293
Rate Realities_News_July 2025,Your News & Weather,Local Now,293,292
Rate Realities_News_July 2025,ABC7 Eyewitness News 11PM,null,292,281
Rate Realities_News_July 2025,American Sunrise Early Edition,null,287,287
Rate Realities_News_July 2025,Local Now News,Local Now,281,279
Rate Realities_News_July 2025,Today's Top Stories,Local Now,281,281
Rate Realities_News_July 2025,null,Sinclair,274,266
Rate Realities_News_July 2025,null,Real America's Voice,268,262
Rate Realities_News_July 2025,CheddarTV_Live,Cheddar,264,249
Rate Realities_News_July 2025,CNN Headline Express,WBD Discovery,263,256
Rate Realities_News_July 2025,David Harris Jr. The Pulse,null,258,248
Rate Realities_News_July 2025,Ed Henry The Briefing,null,258,254
Rate Realities_News_July 2025,Good To Know,scripps,246,239
Rate Realities_News_July 2025,EPG  KHSL Hyperlocal Redding,null,242,239
Rate Realities_News_July 2025,CNN Headline Express,CNN,240,239
Rate Realities_News_July 2025,Fine Point with Chanel Rion,null,235,232
Rate Realities_News_July 2025,The Real Story with Riley Lewis,null,235,231
Rate Realities_News_July 2025,Bolling!,null,231,229
Rate Realities_News_July 2025,American Sunrise Early Edition,RealAmericasVoice,227,226
Rate Realities_News_July 2025,Top Weather News US Regional Forecasts and Severe Coverage,WEATHERNATION,221,217
Rate Realities_News_July 2025,Turning Point Tonight,RealAmericasVoice,220,219
Rate Realities_News_July 2025,American Sunrise,RealAmericasVoice,209,208
Rate Realities_News_July 2025,John Bachman Now,null,208,201
Rate Realities_News_July 2025,EPG  KHSL Hyperlocal Redding,khsl-hyperlocal-redding,207,187
Rate Realities_News_July 2025,null,OAN,196,194
Rate Realities_News_July 2025,Local_News_Program,Allen+Media+Group,192,188
Rate Realities_News_July 2025,National Desk,null,191,188
Rate Realities_News_July 2025,Newswire,null,185,184
Rate Realities_News_July 2025,"EPG  KCRA Hyperlocal Sacramento, CA",kcra-hyperlocal-sacramento,182,190
Rate Realities_News_July 2025,Newsmax 2,null,181,181
Rate Realities_News_July 2025,Check the News,RealAmericasVoice,180,176
Rate Realities_News_July 2025,America's Voice Live,null,176,170
Rate Realities_News_July 2025,Reuters Afternoon News,Reuters,172,167
Rate Realities_News_July 2025,Local Now AM,Local Now,166,161
Rate Realities_News_July 2025,The Todd Starnes Show,null,162,158
Rate Realities_News_July 2025,Salcedo Live,null,157,154
Rate Realities_News_July 2025,First Edition,Newsmax Media,155,150
Rate Realities_News_July 2025,null,FOX,154,148
Rate Realities_News_July 2025,Scripps News Weekend,scripps,154,145
Rate Realities_News_July 2025,The Royce White Show,RealAmericasVoice,152,152
Rate Realities_News_July 2025,null,lgchannels,149,144
Rate Realities_News_July 2025,LiveNOW from FOX,FOX NEWS,147,146
Rate Realities_News_July 2025,Turning Point Tonight,null,147,146
Rate Realities_News_July 2025,FOX and Friends,null,146,144
Rate Realities_News_July 2025,Crime Files,Altice,143,142
Rate Realities_News_July 2025,Headlines from CNN,wbddiscovery,141,139
Rate Realities_News_July 2025,ABC10 Morning News at 5,ABC,139,135
Rate Realities_News_July 2025,The National Report^,scrippsnews,138,131
Rate Realities_News_July 2025,Weekly Briefing,null,137,137
Rate Realities_News_July 2025,Morning Rush^,scrippsnews,135,130
Rate Realities_News_July 2025,David Harris Jr. The Pulse,Newsmax Media,130,129
Rate Realities_News_July 2025,Noticias Los Angeles,Estrella,130,128
Rate Realities_News_July 2025,America Shines,RealAmericasVoice,124,123
Rate Realities_News_July 2025,News and politics on USA TODAY,Gannett,123,114
Rate Realities_News_July 2025,BodyCam by Law&Crime,lawnewz,120,120
Rate Realities_News_July 2025,Greg Kelly This Week,null,118,114
Rate Realities_News_July 2025,null,BLOOMBERG,116,115
Rate Realities_News_July 2025,ABC7 Eyewitness News 5AM,null,116,116
Rate Realities_News_July 2025,The Charlie Kirk Show,realamericasvoice,115,114
Rate Realities_News_July 2025,The Wendy Bell Show,null,114,111
Rate Realities_News_July 2025,The First TV LIVE,null,113,111
Rate Realities_News_July 2025,Early Today,null,112,111
Rate Realities_News_July 2025,news,Univision,112,112
Rate Realities_News_July 2025,America s Mayor Live,null,111,107
Rate Realities_News_July 2025,Securing America,realamericasvoice,111,109
Rate Realities_News_July 2025,Today As It Happened^,scrippsnews,110,106
Rate Realities_News_July 2025,Sling TV,null,109,107
Rate Realities_News_July 2025,The Week As It Happened^,scrippsnews,108,102
Rate Realities_News_July 2025,null,ABC,107,106
Rate Realities_News_July 2025,National Update,null,103,101
Rate Realities_News_July 2025,Reuters Morning News,null,103,103
Rate Realities_News_July 2025,Real America's Pop Culture,RealAmericasVoice,102,103
Rate Realities_News_July 2025,Cowboy Logic,null,101,101
Rate Realities_News_July 2025,America Shines,null,96,96
Rate Realities_News_July 2025,The Gravedigger's Wife,null,96,95
Rate Realities_News_July 2025,Morning News NOW,null,95,95
Rate Realities_News_July 2025,WMTV 15 News,null,95,94
Rate Realities_News_July 2025,EPG  Local Now SGA Sacramento CA,null,93,94
Rate Realities_News_July 2025,The Charlie Kirk Show,RAV,93,93
Rate Realities_News_July 2025,Reuters Evening News,null,92,90
Rate Realities_News_July 2025,Your News & Weather,null,91,91
Rate Realities_News_July 2025,Good Morning America First Look,null,90,90
Rate Realities_News_July 2025,Happening Now In America,scripps,90,89
Rate Realities_News_July 2025,Ringside Politics,RealAmericasVoice,90,89
Rate Realities_News_July 2025,A Faith Under Siege,null,89,85
Rate Realities_News_July 2025,ABC10 News Saturday Morning at 6,ABC,88,84
Rate Realities_News_July 2025,Firewall With Lance Wallnau,RealAmericasVoice,88,88
Rate Realities_News_July 2025,CBS News,null,87,87
Rate Realities_News_July 2025,Local Now News,null,87,85
Rate Realities_News_July 2025,AccuWeather Weekend,null,85,84
Rate Realities_News_July 2025,News and politics on USA TODAY,null,85,83
Rate Realities_News_July 2025,Fearless Freddie,Newsmax Media,83,80
Rate Realities_News_July 2025,Foul Play: Athletes Speak Out,Newsmax Media,83,83
Rate Realities_News_July 2025,Late News Tonight,ABC,83,77
Rate Realities_News_July 2025,null,NetComCableTV,82,82
Rate Realities_News_July 2025,The Record With Greta Van Susteren Weekly,null,82,78
Rate Realities_News_July 2025,Latest Local News,ImagicommCommunications,81,80
Rate Realities_News_July 2025,Just The News No Noise,RealAmericasVoice,80,79
Rate Realities_News_July 2025,ABC7 Eyewitness News 6AM,null,79,78
Rate Realities_News_July 2025,LIVE: Cameras Around the World,Fox News,79,74
Rate Realities_News_July 2025,ABC10 Morning News at 6,ABC,78,74
Rate Realities_News_July 2025,The First 3D Printed Starbucks Store!,NEWSON,78,77
Rate Realities_News_July 2025,KCRA 3 News at 4pm,Hearst,75,75
Rate Realities_News_July 2025,KCRA 3 News at Noon,Hearst,75,73
Rate Realities_News_July 2025,Latest Local News,CoxMediaGroup,75,74
Rate Realities_News_July 2025,Market Movers,null,74,74
Rate Realities_News_July 2025,The First TV LIVE,thefirstdigital,74,72
Rate Realities_News_July 2025,The Royce White Show,null,74,74
Rate Realities_News_July 2025,Adam...& Evil,null,73,72
Rate Realities_News_July 2025,Carl Higbie This Week,null,72,69
Rate Realities_News_July 2025,Newsmax News In-Depth,null,72,72
Rate Realities_News_July 2025,Noticiero Cierre de Edici n,Estrella,72,71
Rate Realities_News_July 2025,Stinchfield Tonight,null,72,70
Rate Realities_News_July 2025,The Leventhal Report,null,72,69
Rate Realities_News_July 2025,Ed Henry The Briefing,Newsmax Media,71,69
Rate Realities_News_July 2025,Escape from a House of Horror - A Diane Sawyer Special Event,null,71,69
Rate Realities_News_July 2025,LiveNOW from FOX,FOX,71,69
Rate Realities_News_July 2025,KCRA 3 News at 7pm,Hearst,70,70
Rate Realities_News_July 2025,Ted Nugent's Spirit Campfire,RealAmericasVoice,70,70
Rate Realities_News_July 2025,Tips for A Hot Summer,NEWSON,70,69
Rate Realities_News_July 2025,null,Estrella,69,68
Rate Realities_News_July 2025,Bright Now,scripps,69,68
Rate Realities_News_July 2025,FOX Weather Live,Fox News,69,69
Rate Realities_News_July 2025,Today's Top Stories,null,68,68
Rate Realities_News_July 2025,KCRA HD - KCRA NEWS @  5AM,very_local_by_hearst_television,67,67
Rate Realities_News_July 2025,Live Local News,ImagicommCommunications,67,67
Rate Realities_News_July 2025,24x7 Livestream,ABC,66,63
Rate Realities_News_July 2025,ABC7 Eyewitness News 11PM,lgusa,66,64
Rate Realities_News_July 2025,KTVU Mornings on 2 at 6 AM,Fox News,66,63
Rate Realities_News_July 2025,America's Voice Live,RAV,65,65
Rate Realities_News_July 2025,Alarma TV,Estrella,64,63
Rate Realities_News_July 2025,CENSORED! Losing Our First Freedoms,null,64,64
Rate Realities_News_July 2025,American Pulse,WBD Discovery,63,60
Rate Realities_News_July 2025,KCRA 3 News at 6am,Hearst,63,63
Rate Realities_News_July 2025,Never Made It Home,null,63,63
Rate Realities_News_July 2025,null,bein_media_group,62,59
Rate Realities_News_July 2025,Eyewitness News 4AM,null,62,59
Rate Realities_News_July 2025,American Sunrise,RAV,61,61
Rate Realities_News_July 2025,KCRA 3 News at 11pm,Hearst,61,59
Rate Realities_News_July 2025,Late News Tonight,Tegna,61,61
Rate Realities_News_July 2025,ABC 7,null,60,60
Rate Realities_News_July 2025,America s Mayor Live,Newsmax Media,60,58
Rate Realities_News_July 2025,Breaking Point,RealAmericasVoice,60,59
Rate Realities_News_July 2025,FIBA World Basketball,null,60,57
Rate Realities_News_July 2025,OAN News,null,60,59
Rate Realities_News_July 2025,National Desk,Newsmax Media,59,58
Rate Realities_News_July 2025,BBC News,null,58,56
Rate Realities_News_July 2025,Fearless Freddie,null,58,57
Rate Realities_News_July 2025,CNN Headline Express,wbddiscovery,57,57
Rate Realities_News_July 2025,Cops Reloaded,lawnewz,57,55
Rate Realities_News_July 2025,EPG  KHSL Redding CA,null,57,57
Rate Realities_News_July 2025,Gutfeld!,null,57,57
Rate Realities_News_July 2025,ABC7 Eyewitness News 5PM,null,56,56
Rate Realities_News_July 2025,AccuWeather All Night,null,56,56
Rate Realities_News_July 2025,In Case You Missed It,WBD Discovery,56,54
Rate Realities_News_July 2025,KCRA 3 News at 6:30pm,Hearst,55,55
Rate Realities_News_July 2025,A Captive Student,null,54,54
Rate Realities_News_July 2025,"Grid Down, Power Up With Dennis Quaid",Newsmax Media,54,52
Rate Realities_News_July 2025,Newsfront,null,54,54
Rate Realities_News_July 2025,NewsON   Live Local News,null,53,53
Rate Realities_News_July 2025,Stand Up Trump: Making America Fun Again,null,53,51
Rate Realities_News_July 2025,Tragic Beauty: Anna Nicole Smith,null,53,53
Rate Realities_News_July 2025,null,ROKU,52,50
Rate Realities_News_July 2025,America's Top 10 With Wayne Allyn Root,realamericasvoice,52,52
Rate Realities_News_July 2025,David Harris Jr. The Pulse Weekly,null,52,50
Rate Realities_News_July 2025,Eyewitness News 6PM,null,52,49
Rate Realities_News_July 2025,I Now Pronounce You Dead,null,52,52
Rate Realities_News_July 2025,Rising,Nexstar,52,50
Rate Realities_News_July 2025,The Anchormen Show,null,52,50
Rate Realities_News_July 2025,KMPH Hyperlocal Fresno CA,null,51,49
Rate Realities_News_July 2025,Rob Carson s What in the World?,null,51,49
Rate Realities_News_July 2025,7AM Morning Headlines,null,50,51
Rate Realities_News_July 2025,Noticias Texas,Estrella,50,50
Rate Realities_News_July 2025,The Chris Salcedo Weekend,null,50,48
Rate Realities_News_July 2025,The Wild Geese,null,50,47
Rate Realities_News_July 2025,Reuters Afternoon News,null,49,49
Rate Realities_News_July 2025,null,[NETWORK_NAME],48,48
Rate Realities_News_July 2025,FBI: Abuse of Power,Newsmax Media,48,47
Rate Realities_News_July 2025,NTD Newsroom,NTDTV,48,48
Rate Realities_News_July 2025,The Steve Gruber Show,RAV,48,48
Rate Realities_News_July 2025,null,TYT,47,46
Rate Realities_News_July 2025,ABC7 Eyewitness News 7AM,null,47,46
Rate Realities_News_July 2025,Murdaugh Family Murders,null,47,47
Rate Realities_News_July 2025,Scripps News On The Scene^,scrippsnews,47,45
Rate Realities_News_July 2025,Socialism in America,Newsmax Media,47,44
Rate Realities_News_July 2025,The Leventhal Report,Newsmax Media,47,44
Rate Realities_News_July 2025,AccuWeather All Night,accuweather,46,46
Rate Realities_News_July 2025,Nuclear Now,null,46,46
Rate Realities_News_July 2025,Stinchfield Tonight,RealAmericasVoice,46,46
Rate Realities_News_July 2025,Victim To Verdict Johnny Depp V Amber Heard,scripps,46,44
Rate Realities_News_July 2025,Eyewitness News 8AM,null,45,45
Rate Realities_News_July 2025,LiveNOW from FOX,FoxDigitalFast,45,42
Rate Realities_News_July 2025,Most Outrageous Crimes,lawnewz,45,45
Rate Realities_News_July 2025,My Father: BTK,null,45,45
Rate Realities_News_July 2025,The Life of Adolf Hitler,Newsmax Media,45,45
Rate Realities_News_July 2025,null,realamericasvoice,44,44
Rate Realities_News_July 2025,America's Newsroom,null,44,43
Rate Realities_News_July 2025,Hell in Heels,null,44,44
Rate Realities_News_July 2025,Revolt: The Case Against EV Mandates,null,44,42
Rate Realities_News_July 2025,null,UNIVISION,43,43
Rate Realities_News_July 2025,AccuWeather Early,accuweather,43,43
Rate Realities_News_July 2025,Fall of the House of Murdaugh,null,43,43
Rate Realities_News_July 2025,KCRA 3 News at 6pm,Hearst,43,43
Rate Realities_News_July 2025,Local Now Top Stories,Local Now,43,43
Rate Realities_News_July 2025,Newsfront,Newsmax Media,43,43
Rate Realities_News_July 2025,Southpaw -- The Life and Legacy of Jim Abbott,null,43,45
Rate Realities_News_July 2025,The Wendy Bell Show,Newsmax Media,43,43
Rate Realities_News_July 2025,null,Reuters,42,42
Rate Realities_News_July 2025,6AM: Latest News Updates,null,42,42
Rate Realities_News_July 2025,"Grid Down, Power Up With Dennis Quaid",null,42,40
Rate Realities_News_July 2025,In The Shadows With Jason Bellini,scripps,42,40
Rate Realities_News_July 2025,Interrogations by Law&Crime,lawnewz,42,41
Rate Realities_News_July 2025,KTVU Mornings on 2 at 5 AM,Fox News,42,41
Rate Realities_News_July 2025,Ronald Reagan: An American Journey,Newsmax Media,42,42
Rate Realities_News_July 2025,Undercover Mother (4/6/18),null,42,42
Rate Realities_News_July 2025,EPG  KOKI Hyperlocal Tulsa,koki,41,40
Rate Realities_News_July 2025,Live From The Open,null,41,41
Rate Realities_News_July 2025,Morning Brief: Market Sunrise,null,41,41
Rate Realities_News_July 2025,Socialism in America,null,41,41
Rate Realities_News_July 2025,20/20,null,40,40
Rate Realities_News_July 2025,Alarma TV,null,40,39
Rate Realities_News_July 2025,Hannity,null,40,40
Rate Realities_News_July 2025,Human Events Daily,RAV,40,40
Rate Realities_News_July 2025,King of Cool: The Dean Martin Story,Newsmax Media,40,40
Rate Realities_News_July 2025,The Freedom File: Judge Napolitano,Newsmax Media,40,40
Rate Realities_News_July 2025,The Ingraham Angle,null,40,40
Rate Realities_News_July 2025,The Todd Starnes Show,Newsmax Media,40,39
Rate Realities_News_July 2025,ABC10 Morning News at 11,Tegna,39,39
Rate Realities_News_July 2025,Beyond Watergate: The Richard Nixon Story,Newsmax Media,39,38
Rate Realities_News_July 2025,FOX Weather Now,Fox News,39,40
Rate Realities_News_July 2025,Nuclear Now,Newsmax Media,39,37
Rate Realities_News_July 2025,Rob Schmitt This Week,null,39,39
Rate Realities_News_July 2025,Ronald Reagan: His Winning Wit,null,39,39
Rate Realities_News_July 2025,Salcedo Live,Newsmax Media,39,39
Rate Realities_News_July 2025,The Perfect Lie,null,39,39
Rate Realities_News_July 2025,Where Monsters Hide,null,39,39
Rate Realities_News_July 2025,ABC10 News at 5,ABC,38,36
Rate Realities_News_July 2025,Home Sweet Murder,null,38,37
Rate Realities_News_July 2025,KCRA 3 News at 5pm,Hearst,38,38
Rate Realities_News_July 2025,Market Catalysts,null,38,38
Rate Realities_News_July 2025,Noticias Los Angeles,null,38,38
Rate Realities_News_July 2025,Securing America,RAV,38,38
Rate Realities_News_July 2025,The War Room,RAV,38,38
Rate Realities_News_July 2025,ABC10  This Week,ABC,37,35
Rate Realities_News_July 2025,ABC7 Eyewitness News 11AM,null,37,35
Rate Realities_News_July 2025,FOX & Friends First,null,37,37
Rate Realities_News_July 2025,KCRA HD - KCRA NEWS @ 430AM,very_local_by_hearst_television,37,36
Rate Realities_News_July 2025,Local_News_Program,CBS,37,37
Rate Realities_News_July 2025,National Update,Newsmax Media,37,35
Rate Realities_News_July 2025,Rob Carson s What in the World?,Newsmax Media,37,35
Rate Realities_News_July 2025,null,FOX NEWS,36,36
Rate Realities_News_July 2025,American Sunrise Early Edition,RAV,36,36
Rate Realities_News_July 2025,Bloomberg Investigates,null,36,33
Rate Realities_News_July 2025,The Big Focus,null,36,34
Rate Realities_News_July 2025,The Freedom File: Judge Napolitano,null,36,36
Rate Realities_News_July 2025,The Greatest Generals,null,36,36
Rate Realities_News_July 2025,The Life of Adolf Hitler,null,36,35
Rate Realities_News_July 2025,The Year That Rocked The World,scripps,36,36
Rate Realities_News_July 2025,Varney & Company,null,36,36
Rate Realities_News_July 2025,War Room: Special Coverage,RAV,36,35
Rate Realities_News_July 2025,Broken Vows,null,35,35
Rate Realities_News_July 2025,From Classroom to Captive,null,35,34
Rate Realities_News_July 2025,KTVU Mornings on 2 at 7 AM,Fox News,35,32
Rate Realities_News_July 2025,Overboard,null,35,35
Rate Realities_News_July 2025,To the Shores of Iwo Jima,null,35,34
Rate Realities_News_July 2025,A Killing on the Cape,null,34,34
Rate Realities_News_July 2025,Jen Soering,null,34,34
Rate Realities_News_July 2025,KCRA HD - KCRA NEWS @ 4AM,very_local_by_hearst_television,34,32
Rate Realities_News_July 2025,Killing John Lennon,null,34,33
Rate Realities_News_July 2025,Melania Trump: A Very Beautiful First Lady,null,34,33
Rate Realities_News_July 2025,Revolt: The Case Against EV Mandates,Newsmax Media,34,34
Rate Realities_News_July 2025,The Hill on NewsNation,Nexstar,34,33
Rate Realities_News_July 2025,The Record With Greta Van Susteren Weekly,Newsmax Media,34,33
Rate Realities_News_July 2025,ABC World News Now,null,33,32
Rate Realities_News_July 2025,CENSORED! Losing Our First Freedoms,Newsmax Media,33,30
Rate Realities_News_July 2025,FOX 2 News Morning,null,33,32
Rate Realities_News_July 2025,KCRA 3 News at 4:30am,Hearst,33,33
Rate Realities_News_July 2025,KCRA 3 News at 5:30am,Hearst,33,33
Rate Realities_News_July 2025,KTVU Mornings on 2 at 8 AM,Fox News,33,32
Rate Realities_News_July 2025,Local_News_Program,Scripps,33,33
Rate Realities_News_July 2025,Scripps News Weekend^,scrippsnews,33,30
Rate Realities_News_July 2025,The Promise,null,33,31
Rate Realities_News_July 2025,Woke America,Newsmax Media,33,33
Rate Realities_News_July 2025,A Savage Life: The Bronx to Big Time,Newsmax Media,32,32
Rate Realities_News_July 2025,ABC7 Eyewitness News 11AM,lgusa,32,32
Rate Realities_News_July 2025,Just The News No Noise,null,32,32
Rate Realities_News_July 2025,KCRA HD - KCRA NEWS @ 4PM,very_local_by_hearst_television,32,32
Rate Realities_News_July 2025,Nazis on Trial: Nuremberg in Color,Newsmax Media,32,32
Rate Realities_News_July 2025,Noticias Miami,Estrella,32,32
Rate Realities_News_July 2025,The Wrap,null,32,32
Rate Realities_News_July 2025,Your First Trade,null,32,32
Rate Realities_News_July 2025,9AM Morning Headlines,null,31,29
Rate Realities_News_July 2025,AccuWeather Early,null,31,29
Rate Realities_News_July 2025,AccuWeather Weekend,accuweather,31,29
Rate Realities_News_July 2025,Baby Sabrina,null,31,30
Rate Realities_News_July 2025,LIVE: Sentencing of Bryan Kohberger in Idaho murders,ABC,31,30
Rate Realities_News_July 2025,Live From Studio 6B,RAV,31,32
Rate Realities_News_July 2025,Revealed,Altice,31,31
Rate Realities_News_July 2025,Ted Nugent's Spirit Campfire,realamericasvoice,31,31
Rate Realities_News_July 2025,The Devil's Triangle,null,31,31
Rate Realities_News_July 2025,Bolling!,RAV,30,30
Rate Realities_News_July 2025,If Something Happens To Me...,null,30,30
